symbol	price	datetime
SCTY	22.44	2016-03-29 10:29:00
SCTY	22.54	2016-03-29 10:30:00
SCTY	22.52	2016-03-29 10:31:00
SCTY	22.5	2016-03-29 10:32:00
SCTY	22.45	2016-03-29 10:33:00
SCTY	22.41	2016-03-29 10:34:00
SCTY	22.36	2016-03-29 10:35:00
SCTY	22.34	2016-03-29 10:36:00
SCTY	22.38	2016-03-29 10:37:00
SCTY	22.37	2016-03-29 10:38:00
SCTY	22.32	2016-03-29 10:39:00
SCTY	22.28	2016-03-29 10:40:00
SCTY	22.28	2016-03-29 10:41:00
SCTY	22.27	2016-03-29 10:42:00
SCTY	22.22	2016-03-29 10:43:00
SCTY	22.24	2016-03-29 10:44:00
SCTY	22.2	2016-03-29 10:45:00
SCTY	22.2	2016-03-29 10:46:00
SCTY	22.24	2016-03-29 10:47:00
SCTY	22.24	2016-03-29 10:48:00
SCTY	22.17	2016-03-29 10:49:00
SCTY	22.14	2016-03-29 10:50:00
SCTY	22.13	2016-03-29 10:51:00
SCTY	22.06	2016-03-29 10:52:00
SCTY	22.03	2016-03-29 10:53:00
SCTY	22.08	2016-03-29 10:54:00
SCTY	22.07	2016-03-29 10:55:00
SCTY	22.06	2016-03-29 10:56:00
SCTY	22.0	2016-03-29 10:57:00
SCTY	22.08	2016-03-29 10:58:00
SCTY	22.13	2016-03-29 10:59:00
SCTY	22.21	2016-03-29 11:00:00
SCTY	22.2	2016-03-29 11:01:00
SCTY	22.18	2016-03-29 11:02:00
SCTY	22.19	2016-03-29 11:03:00
SCTY	22.15	2016-03-29 11:04:00
SCTY	22.19	2016-03-29 11:05:00
SCTY	22.15	2016-03-29 11:06:00
SCTY	22.11	2016-03-29 11:07:00
SCTY	22.12	2016-03-29 11:08:00
SCTY	22.19	2016-03-29 11:09:00
SCTY	22.18	2016-03-29 11:10:00
SCTY	22.18	2016-03-29 11:11:00
SCTY	22.26	2016-03-29 11:12:00
SCTY	22.25	2016-03-29 11:13:00
SCTY	22.18	2016-03-29 11:14:00
SCTY	22.23	2016-03-29 11:15:00
SCTY	22.26	2016-03-29 11:16:00
SCTY	22.24	2016-03-29 11:17:00
SCTY	22.23	2016-03-29 11:18:00
SCTY	22.26	2016-03-29 11:19:00
SCTY	22.21	2016-03-29 11:20:00
SCTY	22.22	2016-03-29 11:21:00
SCTY	22.15	2016-03-29 11:22:00
SCTY	22.12	2016-03-29 11:23:00
SCTY	22.12	2016-03-29 11:24:00
SCTY	22.16	2016-03-29 11:25:00
